generation,best_fitness,avg_fitness
284,0.83,0.8299999999999998
285,0.83,0.8299999999999998
286,0.83,0.8299999999999998
287,0.83,0.8299999999999998
288,0.83,0.8299999999999998
289,0.83,0.8208333333333331
290,0.83,0.8299999999999998
291,0.83,0.8299999999999998
292,0.83,0.8299999999999998
293,0.83,0.8299999999999998
294,0.83,0.8299999999999998
295,0.83,0.8137704918032784
296,0.83,0.8299999999999998
297,0.83,0.8208333333333331
298,0.83,0.8299999999999998
299,0.83,0.8299999999999998
300,0.83,0.8299999999999998
301,0.83,0.8299999999999998
302,0.83,0.8244999999999998
303,0.83,0.820333333333333
304,0.83,0.8299999999999998
305,0.83,0.8299999999999998
306,0.83,0.8264999999999998
307,0.83,0.8299999999999998
308,0.83,0.8299999999999998
309,0.83,0.8244999999999998
310,0.83,0.8245901639344261
311,0.83,0.8299999999999998
312,0.83,0.8299999999999998
313,0.83,0.8299999999999998
314,0.83,0.8299999999999998
315,0.83,0.8295081967213113
316,0.83,0.8299999999999998
317,0.83,0.8299999999999998
318,0.83,0.8299999999999998
319,0.83,0.8299999999999998
320,0.83,0.8245901639344261
321,0.83,0.8299999999999998
322,0.83,0.8299999999999998
323,0.83,0.8299999999999998
324,0.83,0.8299999999999998
325,0.83,0.8299999999999998
326,0.83,0.8299999999999998
327,0.83,0.8299999999999998
328,0.83,0.8299999999999998
329,0.83,0.8299999999999998
330,0.83,0.8265573770491801
331,0.83,0.8213333333333332
332,0.83,0.8299999999999998
333,0.83,0.8299999999999998
334,0.83,0.8299999999999998
335,0.83,0.8265573770491801
336,0.83,0.8299999999999998
337,0.83,0.8299999999999998
338,0.83,0.8299999999999998
339,0.83,0.8299999999999998
340,0.83,0.8232786885245901
341,0.83,0.8299999999999998
342,0.83,0.8299999999999998
343,0.83,0.8299999999999998
344,0.83,0.8213333333333331
345,0.83,0.8265573770491801
346,0.83,0.8299999999999998
347,0.83,0.8299999999999998
348,0.83,0.8299999999999998
349,0.83,0.8299999999999998
350,0.83,0.8160655737704916
351,0.83,0.8299999999999998
352,0.83,0.8299999999999998
353,0.83,0.8299999999999998
354,0.83,0.8208333333333331
355,0.83,0.8245901639344261
356,0.83,0.8299999999999998
357,0.83,0.8299999999999998
358,0.83,0.8299999999999998
359,0.83,0.8299999999999998
360,0.83,0.8245901639344261
361,0.83,0.8299999999999998
362,0.83,0.8299999999999998
363,0.83,0.8299999999999998
364,0.83,0.8264999999999998
365,0.83,0.8265573770491801
366,0.83,0.8299999999999998
367,0.83,0.8299999999999998
368,0.83,0.8299999999999998
369,0.83,0.8299999999999998
370,0.83,0.8299999999999998
371,0.83,0.8299999999999998
372,0.83,0.8299999999999998
373,0.83,0.8299999999999998
374,0.83,0.8299999999999998
375,0.83,0.8245901639344261
376,0.83,0.8299999999999998
377,0.83,0.8299999999999998
378,0.83,0.8299999999999998
379,0.83,0.8299999999999998
380,0.83,0.8188524590163931
381,0.83,0.8299999999999998
382,0.83,0.8299999999999998
383,0.83,0.8299999999999998
384,0.83,0.8299999999999998
385,0.83,0.8232786885245901
386,0.83,0.8299999999999998
387,0.83,0.8299999999999998
388,0.83,0.8299999999999998
389,0.83,0.8299999999999998
390,0.83,0.8295081967213113
391,0.83,0.8299999999999998
392,0.83,0.8299999999999998
393,0.83,0.8299999999999998
394,0.83,0.8299999999999998
395,0.83,0.8178688524590162
396,0.83,0.8299999999999998
397,0.83,0.8299999999999998
398,0.83,0.8299999999999998
399,0.83,0.8221666666666664
400,0.83,0.8299999999999998
401,0.83,0.8299999999999998
402,0.83,0.8231666666666665
403,0.83,0.8299999999999998
404,0.83,0.8299999999999998
405,0.83,0.8295081967213113
406,0.83,0.8299999999999998
407,0.83,0.8299999999999998
408,0.83,0.8299999999999998
409,0.83,0.8299999999999998
410,0.83,0.8265573770491801
411,0.83,0.8299999999999998
412,0.83,0.8221666666666664
413,0.83,0.8299999999999998
414,0.83,0.8299999999999998
415,0.83,0.8245901639344261
416,0.83,0.8299999999999998
